id,polarity,score
809560841771094017,Neutral,0.0
809560897396031488,Positive,0.167
809560980539711489,Neutral,0.0
809561014509379584,Neutral,0.0
809561136181940224,Neutral,0.0
809561168004009984,Neutral,0.0
809561378449223680,Neutral,0.0
809561876619268101,Neutral,0.0
809561911239000065,Neutral,0.0
809562282736783360,Neutral,0.0
809562420503085056,Positive,0.388
809562431538270208,Neutral,0.0
809562467265368065,Neutral,0.0
809562526513926146,Neutral,0.0
809562844509323264,Neutral,0.0
809563662176440320,Neutral,0.0
809564077806813184,Positive,0.383
809564447241076737,Neutral,0.0
809565710842232833,Positive,0.333
809565767830114304,Neutral,0.0
809565798092001280,Neutral,0.0
809566036768997376,Positive,0.333
809566419918520320,Negative,-0.54
809566682310209537,Neutral,0.0
809566985784795136,Neutral,0.0
809567303780200448,Positive,0.314
809568768489910273,Neutral,0.0
809569258241925122,Positive,0.263
809569302420615168,Negative,-0.09899999999999998
809571378567532544,Positive,0.266
809571784706039808,Neutral,0.0
809574301691244544,Neutral,0.0
809574826797047808,Positive,0.425
809575148949041153,Neutral,0.0
809575184676089857,Neutral,0.0
809575592970612736,Neutral,0.0
809575637421850624,Neutral,0.0
809575749137088512,Neutral,0.0
809576148766224385,Neutral,0.0
809576361077731329,Neutral,0.0
809576364986793984,Neutral,0.0
809576573078736896,Positive,0.103
809576590938173441,Neutral,0.0
809576842180993024,Neutral,0.0
809576871494979585,Positive,0.492
809577078718861312,Neutral,0.0
809577313633443840,Neutral,0.0
809578348573761537,Positive,0.388
809578911407349760,Positive,0.364
809578936850087937,Neutral,0.0
809579105439973376,Negative,-0.156
809579232716324864,Neutral,0.0
809580085271478272,Neutral,0.0
809580929899433984,Neutral,0.0
809582550771503104,Neutral,0.0
809582575446540288,Positive,0.165
809582749543710720,Neutral,0.0
809583746286489600,Neutral,0.0
809584302644232192,Neutral,0.0
809584932062306304,Neutral,0.0
809586183303024642,Neutral,0.0
809586765522763776,Positive,0.242
809586795025285120,Neutral,0.0
809586794949808128,Neutral,0.0
809587094888845314,Neutral,0.0
809587408249487360,Positive,0.4
809587864845647872,Neutral,0.0
809588215082582017,Neutral,0.0
809589098994343938,Neutral,0.0
809589102668435456,Neutral,0.0
809589139771420672,Positive,0.18200000000000002
809589733059887104,Positive,0.062
809589952191172608,Neutral,0.0
809590318903463936,Neutral,0.0
809590338780336129,Positive,0.506
809590398691721217,Neutral,0.0
809590841589297153,Positive,0.252
809591809668161537,Neutral,0.0
809591980745457665,Negative,-0.116
809592732838662144,Neutral,0.0
809593270946897920,Positive,0.464
809593371064868865,Positive,0.2
809593846363541508,Neutral,0.0
809594159359295489,Positive,0.252
809594233384382464,Neutral,0.0
809594759694192640,Neutral,0.0
809594892405985280,Neutral,0.0
809594898949308417,Neutral,0.0
809595132819505152,Positive,0.205
809595733527687168,Positive,0.148
809596355794583552,Neutral,0.0
809596570748358656,Neutral,0.0
809596973024182272,Neutral,0.0
809597307658215424,Positive,0.274
809597409873592320,Neutral,0.0
809597710194057216,Neutral,0.0
809598161547313156,Neutral,0.0
809598569036382213,Neutral,0.0
809598621771567104,Positive,0.043
809599189126496256,Negative,-0.13
809599607361544192,Positive,0.277
809599921636708356,Neutral,0.0
809601312031641602,Positive,0.2
809601571906469888,Neutral,0.0
809603532378820609,Negative,-0.13
809603692253052928,Negative,-0.07899999999999999
809604689071259648,Neutral,0.0
809607400135086081,Positive,0.314
809610984059011073,Positive,0.2
809612780475019264,Positive,0.423
809612837521739776,Positive,0.2
809615076328083456,Neutral,0.0
809616808848293888,Negative,-0.375
809620838534287361,Neutral,0.0
809620904418439168,Neutral,0.0
809621314289811456,Neutral,0.0
809623641625227264,Negative,-0.552
809624601697353728,Neutral,0.0
809625318487048192,Neutral,0.0
809625348673564677,Positive,0.2
809625805714096128,Neutral,0.0
809626037864767488,Negative,-0.529
809626135239819264,Neutral,0.0
809626174519476224,Neutral,0.0
809626303733370880,Neutral,0.0
809626377033043968,Neutral,0.0
809626822648459264,Negative,-0.094
809628189366583296,Neutral,0.0
809628378550726656,Neutral,0.0
809629285900226560,Neutral,0.0
809629354204495873,Neutral,0.0
809629880925245440,Positive,0.302
809630207191695360,Neutral,0.0
809630380785598464,Positive,0.302
809630551527346177,Neutral,0.0
809630662638600192,Neutral,0.0
809630958370652162,Positive,0.302
809631643841470464,Neutral,0.0
